Empresa,Cadastro,Já operou?,Teve possibilidade de operar?,cadastro_periodo
Empresa 3383,202103,Sim,Sim,2021-03
Empresa 33830,202103,Sim,Sim,2021-03
Empresa 33831,202103,Sim,Sim,2021-03
Empresa 33832,202103,Sim,Sim,2021-03
Empresa 33833,202103,Sim,Sim,2021-03
Empresa 33834,202103,Sim,Sim,2021-03
Empresa 33835,202103,Sim,Sim,2021-03
Empresa 33836,202103,Sim,Sim,2021-03
Empresa 33837,202103,Sim,Sim,2021-03
Empresa 33838,202103,Sim,Sim,2021-03
Empresa 33839,202103,Não,Não,2021-03
Empresa 3384,202101,Sim,Sim,2021-01
Empresa 33840,202103,Sim,Sim,2021-03
Empresa 33841,202103,Sim,Sim,2021-03
Empresa 33842,202103,Sim,Sim,2021-03
Empresa 33843,202103,Sim,Sim,2021-03
Empresa 33844,202103,Sim,Sim,2021-03
Empresa 33845,202103,Sim,Sim,2021-03
Empresa 33846,202103,Sim,Sim,2021-03
Empresa 33847,202103,Não,Sim,2021-03
Empresa 33848,202103,Sim,Sim,2021-03
Empresa 33849,202103,Não,Não,2021-03
Empresa 3385,202108,Sim,Sim,2021-08
Empresa 33850,202103,Não,Sim,2021-03
Empresa 33851,202103,Sim,Sim,2021-03
Empresa 33852,202103,Não,Sim,2021-03
Empresa 33853,202103,Sim,Sim,2021-03
Empresa 33854,202103,Sim,Sim,2021-03
Empresa 33855,202103,Sim,Sim,2021-03
Empresa 33856,202103,Sim,Sim,2021-03
Empresa 33857,202103,Sim,Sim,2021-03
Empresa 33858,202103,Sim,Sim,2021-03
Empresa 33859,202103,Sim,Sim,2021-03
Empresa 3386,201909,Sim,Sim,2019-09
Empresa 33860,202103,Sim,Sim,2021-03
Empresa 33861,202103,Sim,Sim,2021-03
Empresa 33862,202103,Sim,Sim,2021-03
Empresa 33863,202103,Sim,Sim,2021-03
Empresa 33864,202103,Sim,Sim,2021-03
Empresa 33865,202103,Sim,Sim,2021-03
Empresa 33866,202103,Sim,Sim,2021-03
Empresa 33867,202103,Sim,Sim,2021-03
Empresa 33868,202103,Sim,Sim,2021-03
Empresa 33869,202103,Sim,Sim,2021-03
Empresa 3387,201912,Sim,Sim,2019-12
Empresa 33870,202103,Sim,Sim,2021-03
Empresa 33871,202103,Sim,Sim,2021-03
Empresa 33872,202103,Sim,Sim,2021-03
Empresa 33873,202103,Sim,Sim,2021-03
Empresa 33874,202103,Sim,Sim,2021-03
Empresa 33875,202103,Sim,Sim,2021-03
Empresa 33876,202103,Sim,Sim,2021-03
Empresa 33877,202103,Sim,Sim,2021-03
Empresa 33878,202103,Sim,Sim,2021-03
Empresa 33879,202103,Sim,Sim,2021-03
Empresa 3388,202004,Sim,Sim,2020-04
Empresa 33880,202103,Sim,Sim,2021-03
Empresa 33881,202103,Sim,Sim,2021-03
Empresa 33882,202103,Sim,Sim,2021-03
Empresa 33883,202103,Sim,Sim,2021-03
Empresa 33884,202103,Sim,Sim,2021-03
Empresa 33885,202103,Sim,Sim,2021-03
Empresa 33886,202103,Sim,Sim,2021-03
Empresa 33887,202103,Sim,Sim,2021-03
Empresa 33888,202103,Sim,Sim,2021-03
Empresa 33889,202103,Sim,Sim,2021-03
Empresa 3389,202003,Sim,Sim,2020-03
Empresa 33890,202103,Sim,Sim,2021-03
Empresa 33891,202103,Sim,Sim,2021-03
Empresa 33892,202103,Sim,Sim,2021-03
Empresa 33893,202103,Sim,Sim,2021-03
Empresa 33894,202103,Sim,Sim,2021-03
Empresa 33895,202103,Sim,Sim,2021-03
Empresa 33896,202103,Sim,Sim,2021-03
Empresa 33897,202103,Sim,Sim,2021-03
Empresa 33898,202103,Não,Sim,2021-03
Empresa 33899,202103,Sim,Sim,2021-03
Empresa 339,202305,Não,Sim,2023-05
Empresa 3390,201908,Sim,Sim,2019-08
Empresa 33900,202103,Sim,Sim,2021-03
Empresa 33901,202103,Sim,Sim,2021-03
Empresa 33902,202103,Sim,Sim,2021-03
Empresa 33903,202103,Sim,Sim,2021-03
Empresa 33904,202103,Sim,Sim,2021-03
Empresa 33905,202103,Sim,Sim,2021-03
Empresa 33906,202103,Sim,Sim,2021-03
Empresa 33907,202103,Sim,Sim,2021-03
Empresa 33908,202103,Não,Sim,2021-03
Empresa 33909,202103,Sim,Sim,2021-03
Empresa 3391,202008,Sim,Sim,2020-08
Empresa 33910,202103,Sim,Sim,2021-03
Empresa 33911,202103,Sim,Sim,2021-03
Empresa 33912,202103,Sim,Sim,2021-03
Empresa 33913,202103,Sim,Sim,2021-03
Empresa 33914,202103,Sim,Sim,2021-03
Empresa 33915,202103,Sim,Sim,2021-03
Empresa 33916,202103,Sim,Sim,2021-03
Empresa 33917,202103,Sim,Sim,2021-03
Empresa 33918,202103,Sim,Sim,2021-03
Empresa 33919,202103,Sim,Sim,2021-03
Empresa 3392,201911,Sim,Sim,2019-11
Empresa 33920,202103,Sim,Sim,2021-03
Empresa 33921,202103,Sim,Sim,2021-03
Empresa 33922,202103,Sim,Sim,2021-03
Empresa 33923,202103,Sim,Sim,2021-03
Empresa 33924,202103,Sim,Sim,2021-03
Empresa 33925,202103,Sim,Sim,2021-03
Empresa 33926,202103,Sim,Sim,2021-03
Empresa 33927,202103,Sim,Sim,2021-03
Empresa 33928,202103,Sim,Sim,2021-03
Empresa 33929,202103,Não,Sim,2021-03
Empresa 3393,202007,Sim,Sim,2020-07
Empresa 33930,202109,Sim,Sim,2021-09
Empresa 33931,202109,Sim,Sim,2021-09
Empresa 33932,202109,Sim,Sim,2021-09
Empresa 33933,202109,Sim,Sim,2021-09
Empresa 33934,202109,Não,Não,2021-09
Empresa 33935,202109,Sim,Sim,2021-09
Empresa 33936,202109,Sim,Sim,2021-09
Empresa 33937,202109,Sim,Sim,2021-09
Empresa 33938,202109,Sim,Sim,2021-09
Empresa 33939,202109,Sim,Sim,2021-09
Empresa 3394,202212,Não,Sim,2022-12
Empresa 33940,202109,Sim,Sim,2021-09
Empresa 33941,202109,Sim,Sim,2021-09
Empresa 33942,202109,Não,Não,2021-09
Empresa 33943,202109,Sim,Sim,2021-09
Empresa 33944,202109,Sim,Sim,2021-09
Empresa 33945,202109,Não,Não,2021-09
Empresa 33946,202109,Sim,Sim,2021-09
Empresa 33947,202109,Sim,Sim,2021-09
Empresa 33948,202109,Não,Não,2021-09
Empresa 33949,202109,Sim,Sim,2021-09
Empresa 3395,202006,Sim,Sim,2020-06
Empresa 33950,202109,Sim,Sim,2021-09
Empresa 33951,202109,Não,Não,2021-09
Empresa 33952,202109,Sim,Sim,2021-09
Empresa 33953,202109,Sim,Sim,2021-09
Empresa 33954,202109,Sim,Sim,2021-09
Empresa 33955,202109,Sim,Sim,2021-09
Empresa 33956,202109,Sim,Sim,2021-09
Empresa 33957,202109,Sim,Sim,2021-09
Empresa 33958,202109,Sim,Sim,2021-09
Empresa 33959,202109,Sim,Sim,2021-09
Empresa 3396,201908,Sim,Sim,2019-08
Empresa 33960,202109,Sim,Sim,2021-09
Empresa 33961,202109,Sim,Sim,2021-09
Empresa 33962,202109,Sim,Sim,2021-09
Empresa 33963,202109,Sim,Sim,2021-09
Empresa 33964,202109,Sim,Sim,2021-09
Empresa 33965,202109,Sim,Sim,2021-09
Empresa 33966,202109,Sim,Sim,2021-09
Empresa 33967,202109,Sim,Sim,2021-09
Empresa 33968,202109,Sim,Sim,2021-09
Empresa 33969,202109,Sim,Sim,2021-09
Empresa 3397,202201,Não,Não,2022-01
Empresa 33970,202109,Sim,Sim,2021-09
Empresa 33971,202109,Sim,Sim,2021-09
Empresa 33972,202109,Sim,Sim,2021-09
Empresa 33973,202109,Sim,Sim,2021-09
Empresa 33974,202109,Sim,Sim,2021-09
Empresa 33975,202109,Sim,Sim,2021-09
Empresa 33976,202109,Sim,Sim,2021-09
Empresa 33977,202109,Sim,Sim,2021-09
Empresa 33978,202109,Sim,Sim,2021-09
Empresa 33979,202109,Sim,Sim,2021-09
Empresa 3398,202011,Sim,Sim,2020-11
Empresa 33980,202109,Sim,Sim,2021-09
Empresa 33981,202109,Sim,Sim,2021-09
Empresa 33982,202109,Sim,Sim,2021-09
Empresa 33983,202109,Sim,Sim,2021-09
Empresa 33984,202109,Sim,Sim,2021-09
Empresa 33985,202109,Sim,Sim,2021-09
Empresa 33986,202109,Não,Não,2021-09
Empresa 33987,202109,Sim,Sim,2021-09
Empresa 33988,202109,Sim,Sim,2021-09
Empresa 33989,202109,Sim,Sim,2021-09
Empresa 3399,202209,Sim,Sim,2022-09
Empresa 33990,202109,Sim,Sim,2021-09
Empresa 33991,202109,Não,Não,2021-09
Empresa 33992,202109,Sim,Sim,2021-09
Empresa 33993,202109,Sim,Sim,2021-09
Empresa 33994,202109,Sim,Sim,2021-09
Empresa 33995,202109,Sim,Sim,2021-09
Empresa 33996,202109,Sim,Sim,2021-09
Empresa 33997,202109,Sim,Sim,2021-09
Empresa 33998,202109,Sim,Sim,2021-09
Empresa 33999,202109,Sim,Sim,2021-09
Empresa 34,202211,Sim,Sim,2022-11
Empresa 340,202210,Sim,Sim,2022-10
Empresa 3400,202204,Sim,Sim,2022-04
Empresa 34000,202109,Sim,Sim,2021-09
Empresa 34001,202109,Sim,Sim,2021-09
Empresa 34002,202109,Sim,Sim,2021-09
Empresa 34003,202109,Sim,Sim,2021-09
Empresa 34004,202109,Sim,Sim,2021-09
Empresa 34005,202109,Sim,Sim,2021-09
Empresa 34006,202109,Sim,Sim,2021-09
Empresa 34007,202109,Sim,Sim,2021-09
Empresa 34008,202109,Sim,Sim,2021-09
Empresa 34009,202109,Sim,Sim,2021-09
Empresa 3401,201907,Sim,Sim,2019-07
Empresa 34010,202109,Sim,Sim,2021-09
Empresa 34011,202109,Sim,Sim,2021-09
Empresa 34012,202110,Sim,Sim,2021-10
Empresa 34013,202110,Sim,Sim,2021-10
Empresa 34014,202110,Sim,Sim,2021-10
Empresa 34015,202110,Sim,Sim,2021-10
Empresa 34016,202110,Sim,Sim,2021-10
Empresa 34017,202110,Sim,Sim,2021-10
Empresa 34018,202110,Sim,Sim,2021-10
Empresa 34019,202110,Sim,Sim,2021-10
Empresa 3402,201907,Sim,Sim,2019-07
Empresa 34020,202110,Sim,Sim,2021-10
Empresa 34021,202110,Sim,Sim,2021-10
Empresa 34022,202110,Sim,Sim,2021-10
Empresa 34023,202110,Sim,Sim,2021-10
Empresa 34024,202110,Sim,Sim,2021-10
Empresa 34025,202110,Sim,Sim,2021-10
Empresa 34026,202110,Sim,Sim,2021-10
Empresa 34027,202110,Não,Não,2021-10
Empresa 34028,202110,Sim,Sim,2021-10
Empresa 34029,202110,Sim,Sim,2021-10
