MesAno,Empresa,Valor,Segmento,mes
202302,Empresa 7272,196568.96,Tiny,2023-02
202302,Empresa 6743,245987.6874,Tiny,2023-02
202302,Empresa 7264,121739.16619999999,Tiny,2023-02
202302,Empresa 7265,73371.6,Tiny,2023-02
202302,Empresa 7266,12650.638,Não Tiny,2023-02
202302,Empresa 6873,56205.458,Tiny,2023-02
202302,Empresa 7267,686763.4982,Tiny,2023-02
202302,Empresa 7268,288363.382,Não Tiny,2023-02
202303,Empresa 7259,243429.24,Não Tiny,2023-03
202303,Empresa 7260,154919.1316,Não Tiny,2023-03
202303,Empresa 7261,232047.92,Não Tiny,2023-03
202303,Empresa 7270,376648.0,Tiny,2023-03
202303,Empresa 3094,3141759.1672,Tiny,2023-03
202303,Empresa 7262,31965.685,Não Tiny,2023-03
202303,Empresa 7272,44696.512,Tiny,2023-03
202303,Empresa 6743,304036.26420000003,Não Tiny,2023-03
202303,Empresa 7264,16992.77,Não Tiny,2023-03
202303,Empresa 7265,126373.325,Não Tiny,2023-03
202303,Empresa 7266,13218.28,Não Tiny,2023-03
202303,Empresa 6873,139131.208,Tiny,2023-03
202303,Empresa 7267,1163355.9172,Tiny,2023-03
202303,Empresa 7268,201268.33800000002,Não Tiny,2023-03
202304,Empresa 7259,243429.24,Tiny,2023-04
202304,Empresa 7260,66396.6522,Tiny,2023-04
202304,Empresa 7261,300757.7,Não Tiny,2023-04
202304,Empresa 7270,389820.0,Não Tiny,2023-04
202304,Empresa 3094,805310.448,Não Tiny,2023-04
202304,Empresa 7262,31965.685,Não Tiny,2023-04
202304,Empresa 6582,16315.052800000001,Tiny,2023-04
202304,Empresa 7271,169005.66,Tiny,2023-04
202304,Empresa 6743,199364.07619999998,Tiny,2023-04
202304,Empresa 7264,57892.275,Tiny,2023-04
202304,Empresa 7265,143290.0,Não Tiny,2023-04
202304,Empresa 7266,3640.1,Não Tiny,2023-04
202304,Empresa 6873,81042.688,Não Tiny,2023-04
202304,Empresa 7267,370016.521,Não Tiny,2023-04
202304,Empresa 7268,228377.4176,Não Tiny,2023-04
202305,Empresa 7259,243529.45399999997,Não Tiny,2023-05
202305,Empresa 7260,55676.887,Tiny,2023-05
202305,Empresa 7261,207120.80000000002,Tiny,2023-05
202305,Empresa 7270,441974.0,Tiny,2023-05
202305,Empresa 3094,2690378.3834,Não Tiny,2023-05
202305,Empresa 7262,31965.685,Não Tiny,2023-05
202305,Empresa 7273,121993.20779999999,Não Tiny,2023-05
202305,Empresa 7271,43001.24,Não Tiny,2023-05
202305,Empresa 7272,70867.496,Tiny,2023-05
202305,Empresa 6743,583968.1065999999,Não Tiny,2023-05
202305,Empresa 7264,39807.831,Não Tiny,2023-05
202305,Empresa 7265,164238.57080000002,Não Tiny,2023-05
202305,Empresa 6858,2333380.5866,Não Tiny,2023-05
202305,Empresa 7266,1478.8239999999998,Não Tiny,2023-05
202305,Empresa 6873,83908.488,Não Tiny,2023-05
202305,Empresa 7267,500818.20119999995,Não Tiny,2023-05
202305,Empresa 7268,328831.682,Não Tiny,2023-05
202306,Empresa 7259,243222.9024,Tiny,2023-06
202306,Empresa 7260,70013.91480000001,Tiny,2023-06
202306,Empresa 7261,190976.2,Não Tiny,2023-06
202306,Empresa 7270,274654.0,Tiny,2023-06
202306,Empresa 3094,2279801.7678,Não Tiny,2023-06
202306,Empresa 7262,31965.685,Tiny,2023-06
202306,Empresa 6582,2847.0744,Tiny,2023-06
202306,Empresa 7271,46493.6,Tiny,2023-06
202306,Empresa 7272,172757.9,Não Tiny,2023-06
202306,Empresa 7263,4710948.1068,Não Tiny,2023-06
