bc,Empresa,Conversão (%),Cadastrado? Quando?,mes,cadastro_periodo,status_cadastro_no_mes,cadastrado_no_mes,cadastro_futuro
2023-05,Empresa 5306,49.2,202205,2023-05,2022-05,já cadastrado,True,False
2023-05,Empresa 3050,11.58,202208,2023-05,2022-08,já cadastrado,True,False
2023-05,Empresa 7649,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7650,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2127,100.0,201912,2023-05,2019-12,já cadastrado,True,False
2023-05,Empresa 5583,100.0,202205,2023-05,2022-05,já cadastrado,True,False
2023-05,Empresa 7651,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7652,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 335,5.0,202304,2023-05,2023-04,já cadastrado,True,False
2023-05,Empresa 7653,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7654,5.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 6625,100.0,202111,2023-05,2021-11,já cadastrado,True,False
2023-05,Empresa 7655,5.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 7656,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7657,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1082,12.47,202105,2023-05,2021-05,já cadastrado,True,False
2023-05,Empresa 7658,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7659,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6794,100.0,201909,2023-05,2019-09,já cadastrado,True,False
2023-05,Empresa 7660,5.0,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 7661,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7662,5.0,202307,2023-05,2023-07,cadastro futuro,False,True
2023-05,Empresa 2614,100.0,202301,2023-05,2023-01,já cadastrado,True,False
2023-05,Empresa 7663,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7664,5.0,202006,2023-05,2020-06,já cadastrado,True,False
2023-05,Empresa 7665,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7666,5.0,202102,2023-05,2021-02,já cadastrado,True,False
2023-05,Empresa 7667,5.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 3506,5.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 3055,36.55,201911,2023-05,2019-11,já cadastrado,True,False
2023-05,Empresa 4562,100.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 7668,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7669,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7670,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6999,100.0,202104,2023-05,2021-04,já cadastrado,True,False
2023-05,Empresa 7671,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7672,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7673,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7674,5.0,202011,2023-05,2020-11,já cadastrado,True,False
2023-05,Empresa 7675,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7676,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7677,5.0,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 7678,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2031,98.04,201908,2023-05,2019-08,já cadastrado,True,False
2023-05,Empresa 7679,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7680,5.0,202002,2023-05,2020-02,já cadastrado,True,False
2023-05,Empresa 4565,100.0,202111,2023-05,2021-11,já cadastrado,True,False
2023-05,Empresa 7681,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 803,5.0,202307,2023-05,2023-07,cadastro futuro,False,True
2023-05,Empresa 7682,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7683,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7684,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7685,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3758,5.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 7686,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7687,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7688,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7689,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7690,5.0,202001,2023-05,2020-01,já cadastrado,True,False
2023-05,Empresa 7691,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7692,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 5048,100.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 7693,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 75,100.0,202211,2023-05,2022-11,já cadastrado,True,False
2023-05,Empresa 7695,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7696,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1602,100.0,202105,2023-05,2021-05,já cadastrado,True,False
2023-05,Empresa 7697,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3489,100.0,201909,2023-05,2019-09,já cadastrado,True,False
2023-05,Empresa 7701,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7702,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7703,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 122,100.0,202210,2023-05,2022-10,já cadastrado,True,False
2023-05,Empresa 3431,100.0,201908,2023-05,2019-08,já cadastrado,True,False
2023-05,Empresa 442,5.0,202103,2023-05,2021-03,já cadastrado,True,False
2023-05,Empresa 7704,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7705,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7707,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3260,100.0,202001,2023-05,2020-01,já cadastrado,True,False
2023-05,Empresa 3060,100.0,201912,2023-05,2019-12,já cadastrado,True,False
2023-05,Empresa 3272,13.31,201910,2023-05,2019-10,já cadastrado,True,False
2023-05,Empresa 3057,54.62,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 7708,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7709,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3707,100.0,202201,2023-05,2022-01,já cadastrado,True,False
2023-05,Empresa 5497,100.0,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 7710,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6766,100.0,202203,2023-05,2022-03,já cadastrado,True,False
2023-05,Empresa 3854,40.7,202110,2023-05,2021-10,já cadastrado,True,False
2023-05,Empresa 7711,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7712,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3965,100.0,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 7713,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6635,100.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 6612,100.0,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 2986,5.0,202208,2023-05,2022-08,já cadastrado,True,False
2023-05,Empresa 7714,5.0,202010,2023-05,2020-10,já cadastrado,True,False
2023-05,Empresa 7715,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1409,5.0,202011,2023-05,2020-11,já cadastrado,True,False
2023-05,Empresa 7716,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7717,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7718,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7719,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7720,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7721,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7722,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 707,95.5,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 7723,5.0,202207,2023-05,2022-07,já cadastrado,True,False
2023-05,Empresa 6695,100.0,202201,2023-05,2022-01,já cadastrado,True,False
2023-05,Empresa 3167,5.0,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 7724,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7725,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7726,5.0,202209,2023-05,2022-09,já cadastrado,True,False
2023-05,Empresa 7727,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1821,100.0,202211,2023-05,2022-11,já cadastrado,True,False
2023-05,Empresa 7728,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7729,5.0,202101,2023-05,2021-01,já cadastrado,True,False
2023-05,Empresa 1446,98.34,202110,2023-05,2021-10,já cadastrado,True,False
2023-05,Empresa 712,100.0,202305,2023-05,2023-05,já cadastrado,True,False
2023-05,Empresa 770,5.0,202306,2023-05,2023-06,cadastro futuro,False,True
2023-05,Empresa 7730,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7731,5.0,202103,2023-05,2021-03,já cadastrado,True,False
2023-05,Empresa 7732,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 5373,46.61,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 7733,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7734,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7735,5.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 7736,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7737,5.0,202004,2023-05,2020-04,já cadastrado,True,False
2023-05,Empresa 7738,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7739,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7740,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7741,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7742,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7743,5.0,202305,2023-05,2023-05,já cadastrado,True,False
2023-05,Empresa 7744,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7745,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7746,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7747,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7748,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7749,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7750,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7751,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7752,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2660,100.0,202207,2023-05,2022-07,já cadastrado,True,False
2023-05,Empresa 7753,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 211,100.0,202207,2023-05,2022-07,já cadastrado,True,False
2023-05,Empresa 4824,87.77,202103,2023-05,2021-03,já cadastrado,True,False
2023-05,Empresa 7754,5.0,202112,2023-05,2021-12,já cadastrado,True,False
2023-05,Empresa 7755,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7757,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4803,96.37,202103,2023-05,2021-03,já cadastrado,True,False
2023-05,Empresa 7759,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7760,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 702,100.0,202304,2023-05,2023-04,já cadastrado,True,False
2023-05,Empresa 3885,100.0,202106,2023-05,2021-06,já cadastrado,True,False
2023-05,Empresa 7761,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7762,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7763,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7765,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4427,43.97,202204,2023-05,2022-04,já cadastrado,True,False
2023-05,Empresa 7768,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2510,100.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 3815,100.0,202011,2023-05,2020-11,já cadastrado,True,False
2023-05,Empresa 3619,5.0,202303,2023-05,2023-03,já cadastrado,True,False
2023-05,Empresa 308,5.0,202202,2023-05,2022-02,já cadastrado,True,False
2023-05,Empresa 7770,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2382,100.0,202110,2023-05,2021-10,já cadastrado,True,False
2023-05,Empresa 7771,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4163,100.0,202011,2023-05,2020-11,já cadastrado,True,False
2023-05,Empresa 7772,5.0,202204,2023-05,2022-04,já cadastrado,True,False
2023-05,Empresa 3089,100.0,202003,2023-05,2020-03,já cadastrado,True,False
2023-05,Empresa 7773,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3055,82.81,201911,2023-05,2019-11,já cadastrado,True,False
2023-05,Empresa 7774,5.0,202104,2023-05,2021-04,já cadastrado,True,False
2023-05,Empresa 7775,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7776,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3748,100.0,202011,2023-05,2020-11,já cadastrado,True,False
2023-05,Empresa 7777,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7778,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7779,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7780,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7781,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7782,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 5474,100.0,202209,2023-05,2022-09,já cadastrado,True,False
2023-05,Empresa 7783,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 5099,19.23,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 6571,100.0,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 7784,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7785,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2123,100.0,202106,2023-05,2021-06,já cadastrado,True,False
2023-05,Empresa 7786,5.0,202204,2023-05,2022-04,já cadastrado,True,False
2023-05,Empresa 7787,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6100,5.0,202111,2023-05,2021-11,já cadastrado,True,False
2023-05,Empresa 7788,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7789,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7790,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7791,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6590,100.0,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 975,5.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 7792,5.0,202112,2023-05,2021-12,já cadastrado,True,False
2023-05,Empresa 7793,5.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 7794,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7795,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7796,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7797,5.0,202304,2023-05,2023-04,já cadastrado,True,False
2023-05,Empresa 7798,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7799,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7800,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7801,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7802,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 662,95.9,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 1674,5.0,202209,2023-05,2022-09,já cadastrado,True,False
2023-05,Empresa 2213,5.0,202002,2023-05,2020-02,já cadastrado,True,False
2023-05,Empresa 5285,65.95,202102,2023-05,2021-02,já cadastrado,True,False
2023-05,Empresa 7803,5.0,202007,2023-05,2020-07,já cadastrado,True,False
2023-05,Empresa 7804,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 624,100.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 7805,5.0,202310,2023-05,2023-10,cadastro futuro,False,True
2023-05,Empresa 7806,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4597,100.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 7807,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7808,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7809,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7810,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7811,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7812,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7813,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1470,100.0,202108,2023-05,2021-08,já cadastrado,True,False
2023-05,Empresa 5044,77.74,202108,2023-05,2021-08,já cadastrado,True,False
2023-05,Empresa 4980,5.0,202106,2023-05,2021-06,já cadastrado,True,False
2023-05,Empresa 7815,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7816,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3370,46.69,201908,2023-05,2019-08,já cadastrado,True,False
2023-05,Empresa 7819,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7821,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 143,100.0,202106,2023-05,2021-06,já cadastrado,True,False
2023-05,Empresa 6884,100.0,201910,2023-05,2019-10,já cadastrado,True,False
2023-05,Empresa 1250,5.0,202302,2023-05,2023-02,já cadastrado,True,False
2023-05,Empresa 7823,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7824,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7825,5.0,202201,2023-05,2022-01,já cadastrado,True,False
2023-05,Empresa 7827,5.0,201905,2023-05,2019-05,já cadastrado,True,False
2023-05,Empresa 3421,87.67,202003,2023-05,2020-03,já cadastrado,True,False
2023-05,Empresa 7830,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3607,16.73,202003,2023-05,2020-03,já cadastrado,True,False
2023-05,Empresa 7831,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7834,5.0,202009,2023-05,2020-09,já cadastrado,True,False
2023-05,Empresa 7835,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7836,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1326,100.0,202011,2023-05,2020-11,já cadastrado,True,False
2023-05,Empresa 4910,100.0,202106,2023-05,2021-06,já cadastrado,True,False
2023-05,Empresa 7837,5.0,202304,2023-05,2023-04,já cadastrado,True,False
2023-05,Empresa 5699,5.0,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 3297,5.0,202011,2023-05,2020-11,já cadastrado,True,False
2023-05,Empresa 3310,5.0,201912,2023-05,2019-12,já cadastrado,True,False
2023-05,Empresa 3185,100.0,201912,2023-05,2019-12,já cadastrado,True,False
2023-05,Empresa 7838,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7057,100.0,202305,2023-05,2023-05,já cadastrado,True,False
2023-05,Empresa 7839,5.0,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 6733,100.0,202009,2023-05,2020-09,já cadastrado,True,False
2023-05,Empresa 5820,100.0,202301,2023-05,2023-01,já cadastrado,True,False
2023-05,Empresa 7840,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4005,5.0,202206,2023-05,2022-06,já cadastrado,True,False
2023-05,Empresa 4588,100.0,202110,2023-05,2021-10,já cadastrado,True,False
2023-05,Empresa 5713,30.64,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 5328,100.0,202101,2023-05,2021-01,já cadastrado,True,False
2023-05,Empresa 4495,100.0,202207,2023-05,2022-07,já cadastrado,True,False
2023-05,Empresa 2236,5.0,202002,2023-05,2020-02,já cadastrado,True,False
2023-05,Empresa 7841,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7842,5.0,202310,2023-05,2023-10,cadastro futuro,False,True
2023-05,Empresa 7843,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7844,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7845,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 5427,96.32,202101,2023-05,2021-01,já cadastrado,True,False
2023-05,Empresa 7846,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7847,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7848,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7849,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7850,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1630,100.0,202207,2023-05,2022-07,já cadastrado,True,False
2023-05,Empresa 2376,5.0,202108,2023-05,2021-08,já cadastrado,True,False
2023-05,Empresa 7851,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7852,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1137,5.0,202206,2023-05,2022-06,já cadastrado,True,False
2023-05,Empresa 1813,100.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 7853,5.0,202011,2023-05,2020-11,já cadastrado,True,False
2023-05,Empresa 7854,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7855,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7856,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6855,100.0,202306,2023-05,2023-06,cadastro futuro,False,True
2023-05,Empresa 7857,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 5857,5.0,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 5471,54.56,202209,2023-05,2022-09,já cadastrado,True,False
2023-05,Empresa 7858,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 727,50.0,202305,2023-05,2023-05,já cadastrado,True,False
2023-05,Empresa 7859,5.0,202103,2023-05,2021-03,já cadastrado,True,False
2023-05,Empresa 675,100.0,202211,2023-05,2022-11,já cadastrado,True,False
2023-05,Empresa 7860,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7861,5.0,202004,2023-05,2020-04,já cadastrado,True,False
2023-05,Empresa 7862,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7863,5.0,202002,2023-05,2020-02,já cadastrado,True,False
2023-05,Empresa 7864,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7865,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2214,5.0,202207,2023-05,2022-07,já cadastrado,True,False
2023-05,Empresa 7866,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7867,5.0,202205,2023-05,2022-05,já cadastrado,True,False
2023-05,Empresa 5453,36.63,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 7868,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7869,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7870,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7871,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7872,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7873,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7874,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7876,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7877,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7878,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4529,5.0,202201,2023-05,2022-01,já cadastrado,True,False
2023-05,Empresa 7879,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7880,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1391,5.0,202308,2023-05,2023-08,cadastro futuro,False,True
2023-05,Empresa 7882,5.0,202103,2023-05,2021-03,já cadastrado,True,False
2023-05,Empresa 7883,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 5037,100.0,202304,2023-05,2023-04,já cadastrado,True,False
2023-05,Empresa 3369,100.0,201908,2023-05,2019-08,já cadastrado,True,False
2023-05,Empresa 7884,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1482,100.0,202111,2023-05,2021-11,já cadastrado,True,False
2023-05,Empresa 2945,89.0,202303,2023-05,2023-03,já cadastrado,True,False
2023-05,Empresa 7887,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2944,100.0,202210,2023-05,2022-10,já cadastrado,True,False
2023-05,Empresa 7888,5.0,202107,2023-05,2021-07,já cadastrado,True,False
2023-05,Empresa 7890,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7894,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7194,5.0,202106,2023-05,2021-06,já cadastrado,True,False
2023-05,Empresa 7896,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2115,5.0,202203,2023-05,2022-03,já cadastrado,True,False
2023-05,Empresa 7897,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7898,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4182,49.79,202203,2023-05,2022-03,já cadastrado,True,False
2023-05,Empresa 7899,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 271,88.48,202110,2023-05,2021-10,já cadastrado,True,False
2023-05,Empresa 5790,5.0,202210,2023-05,2022-10,já cadastrado,True,False
2023-05,Empresa 316,61.34,202110,2023-05,2021-10,já cadastrado,True,False
2023-05,Empresa 6743,100.0,202001,2023-05,2020-01,já cadastrado,True,False
2023-05,Empresa 7900,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7901,5.0,202210,2023-05,2022-10,já cadastrado,True,False
2023-05,Empresa 7902,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 710,51.07,202302,2023-05,2023-02,já cadastrado,True,False
2023-05,Empresa 5965,5.0,202105,2023-05,2021-05,já cadastrado,True,False
2023-05,Empresa 7903,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6786,100.0,201910,2023-05,2019-10,já cadastrado,True,False
2023-05,Empresa 4307,54.67,202210,2023-05,2022-10,já cadastrado,True,False
2023-05,Empresa 7523,78.59,202007,2023-05,2020-07,já cadastrado,True,False
2023-05,Empresa 7904,5.0,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 7905,5.0,202007,2023-05,2020-07,já cadastrado,True,False
2023-05,Empresa 7906,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7907,0.0,Não,2023-05,,sem cadastro,False,False
