bc,Empresa,Conversão (%),Cadastrado? Quando?,mes,cadastro_periodo,status_cadastro_no_mes,cadastrado_no_mes,cadastro_futuro
2023-08,Empresa 3202,21.81,202004,2023-08,2020-04,já cadastrado,True,False
2023-08,Empresa 14442,0.0,202305,2023-08,2023-05,já cadastrado,True,False
2023-08,Empresa 6968,100.0,202209,2023-08,2022-09,já cadastrado,True,False
2023-08,Empresa 1182,62.82,202304,2023-08,2023-04,já cadastrado,True,False
2023-08,Empresa 16542,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25135,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25136,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 1125,0.0,202307,2023-08,2023-07,já cadastrado,True,False
2023-08,Empresa 23002,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 23502,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 24138,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 13528,0.0,202109,2023-08,2021-09,já cadastrado,True,False
2023-08,Empresa 9093,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 13327,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 2283,0.0,202105,2023-08,2021-05,já cadastrado,True,False
2023-08,Empresa 5061,0.0,202301,2023-08,2023-01,já cadastrado,True,False
2023-08,Empresa 21290,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 15848,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 210,0.0,202303,2023-08,2023-03,já cadastrado,True,False
2023-08,Empresa 371,0.0,202104,2023-08,2021-04,já cadastrado,True,False
2023-08,Empresa 14840,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 4463,100.0,202109,2023-08,2021-09,já cadastrado,True,False
2023-08,Empresa 25137,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 24151,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 17168,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 10633,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 170,82.61,202204,2023-08,2022-04,já cadastrado,True,False
2023-08,Empresa 18262,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 11693,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 2402,100.0,202108,2023-08,2021-08,já cadastrado,True,False
2023-08,Empresa 3599,0.0,202002,2023-08,2020-02,já cadastrado,True,False
2023-08,Empresa 25138,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 23739,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25139,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 11412,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 214,0.0,202307,2023-08,2023-07,já cadastrado,True,False
2023-08,Empresa 22254,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 1336,0.0,202107,2023-08,2021-07,já cadastrado,True,False
2023-08,Empresa 9376,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 12871,0.0,202108,2023-08,2021-08,já cadastrado,True,False
2023-08,Empresa 5570,72.65,202203,2023-08,2022-03,já cadastrado,True,False
2023-08,Empresa 3107,99.97,202001,2023-08,2020-01,já cadastrado,True,False
2023-08,Empresa 3094,74.53,201911,2023-08,2019-11,já cadastrado,True,False
2023-08,Empresa 10109,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 9220,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25142,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 17277,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 20800,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 559,100.0,202211,2023-08,2022-11,já cadastrado,True,False
2023-08,Empresa 5596,100.0,202207,2023-08,2022-07,já cadastrado,True,False
2023-08,Empresa 19330,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 19185,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 8179,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 19632,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 23480,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 10112,0.0,202012,2023-08,2020-12,já cadastrado,True,False
2023-08,Empresa 15957,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 3295,100.0,202105,2023-08,2021-05,já cadastrado,True,False
2023-08,Empresa 1671,97.22,202203,2023-08,2022-03,já cadastrado,True,False
2023-08,Empresa 3744,100.0,202009,2023-08,2020-09,já cadastrado,True,False
2023-08,Empresa 17554,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 7396,100.0,202301,2023-08,2023-01,já cadastrado,True,False
2023-08,Empresa 24011,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25143,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 17916,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 7529,94.87,202007,2023-08,2020-07,já cadastrado,True,False
2023-08,Empresa 8249,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 21002,0.0,202012,2023-08,2020-12,já cadastrado,True,False
2023-08,Empresa 12295,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 14433,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25144,0.0,202308,2023-08,2023-08,já cadastrado,True,False
2023-08,Empresa 25145,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 23102,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 21276,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 15624,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 11901,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 2585,12.54,202311,2023-08,2023-11,cadastro futuro,False,True
2023-08,Empresa 10554,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 23132,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 17250,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 12703,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 22204,0.0,202306,2023-08,2023-06,já cadastrado,True,False
2023-08,Empresa 9505,0.0,202205,2023-08,2022-05,já cadastrado,True,False
2023-08,Empresa 8767,0.0,202212,2023-08,2022-12,já cadastrado,True,False
2023-08,Empresa 11565,0.0,Não,2023-08,,sem cadastro,False,False
