Empresa,Valor,share,share_acumulado,pct_fornecedores
Empresa 6472,5295259.3440000005,0.00010287106485608038,0.8748002675892742,0.17167887029288703
Empresa 210,5282714.883,0.00010262736346635,0.8749028949527405,0.17180962343096234
Empresa 7241,5261544.4886,0.0001022160859681442,0.8750051110387087,0.17194037656903766
Empresa 4586,5259440.3684,0.00010217520920054934,0.8751072862479092,0.17207112970711297
Empresa 6842,5258349.7624,0.00010215402198510435,0.8752094402698943,0.17220188284518828
Empresa 2429,5253879.417,0.00010206717653303153,0.8753115074464274,0.1723326359832636
Empresa 5723,5242418.0504,0.00010184451643080559,0.8754133519628582,0.1724633891213389
Empresa 2539,5234871.1886,0.00010169790345885222,0.875515049866317,0.17259414225941422
Empresa 5494,5230835.715,0.00010161950626629526,0.8756166693725833,0.17272489539748953
Empresa 6801,5228199.09,0.00010156828452175814,0.8757182376571051,0.17285564853556484
Empresa 3824,5219485.206799999,0.00010139899981149531,0.8758196366569166,0.17298640167364016
Empresa 1572,5208975.624,0.00010119483002422057,0.8759208314869409,0.17311715481171547
Empresa 6611,5207449.007,0.00010116517241800808,0.8760219966593589,0.1732479079497908
Empresa 7052,5207162.16,0.00010115959983800324,0.8761231562591969,0.17337866108786612
Empresa 5268,5206866.413,0.00010115385435759491,0.8762243101135545,0.17350941422594143
Empresa 6510,5202858.1556,0.00010107598589447186,0.876325386099449,0.17364016736401675
Empresa 6795,5196386.04,0.00010095025202944445,0.8764263363514785,0.17377092050209206
Empresa 554,5191967.813,0.00010086441908213453,0.8765272007705606,0.17390167364016737
Empresa 271,5190147.8164,0.00010082906198702103,0.8766280298325476,0.17403242677824268
Empresa 2248,5187784.047599999,0.00010078314102305443,0.8767288129735706,0.174163179916318
Empresa 6102,5179782.9298,0.0001006277032145064,0.8768294406767851,0.1742939330543933
Empresa 3694,5179238.961800001,0.00010061713554184443,0.876930057812327,0.17442468619246862
Empresa 470,5179185.9,0.00010061610470963876,0.8770306739170367,0.17455543933054393
Empresa 2513,5175677.555600001,0.00010054794806218035,0.8771312218650988,0.17468619246861924
Empresa 2546,5170162.2434,0.00010044080202793168,0.8772316626671268,0.17481694560669456
Empresa 6406,5154010.5412,0.0001001270227214592,0.8773317896898483,0.17494769874476987
Empresa 7631,5153671.0596,0.00010012042760846807,0.8774319101174567,0.17507845188284518
Empresa 3805,5152467.8152,0.00010009705216551636,0.8775320071696222,0.1752092050209205
Empresa 5327,5148532.555600001,0.00010002060183150283,0.8776320277714537,0.1753399581589958
Empresa 3799,5138985.401,9.983512914806183e-05,0.8777318629006017,0.17547071129707112
Empresa 2943,5131108.0644000005,9.968209603832569e-05,0.87783154499664,0.17560146443514643
Empresa 1712,5129969.968,9.965998622632762e-05,0.8779312049828663,0.17573221757322174
Empresa 2319,5128745.2746,9.963619409340348e-05,0.8780308411769596,0.17586297071129708
Empresa 2578,5116770.289,9.94035559088915e-05,0.8781302447328685,0.1759937238493724
